,t1,t1ce,t2,flair
0,10900.38939315541,11792.394290123457,10772.219522399237,10863.59546092048
1,11068.721406476943,12765.53360146605,14056.612654888344,10724.472525644516
2,10644.07107650236,10488.1507527687,11738.73935684459,10612.131302083333
3,10759.889989106754,10492.388010734387,13074.380533996005,10702.77164544753
4,13021.11013900236,15760.140216503269,15178.070132761439,11391.092538126362
5,10688.676240014524,10951.04888366921,11317.148303944263,10561.775376157408
6,10985.310547726034,11690.351860021787,13504.108279434458,10671.334766249092
7,11101.263075980392,11747.210542619825,10615.152850626362,10713.287680192447
8,11026.743620756173,12020.368675222404,10874.141437568083,10727.07895186547
9,11100.644961646696,11941.201255219681,10945.230346654866,10741.957856980755
10,11022.496521650326,11787.622464823893,10575.57980324074,10627.278047158678
11,10717.743216230936,10988.278956631264,11251.309429806644,10564.114299655048
12,10676.492050767067,10504.67313793573,12033.275138548475,10622.330834921931
13,12292.940070692628,15042.956317969318,14988.236494530682,11086.264231118374
14,11203.173125680827,12057.174214211147,10782.764419367284,10752.504822984749
15,10950.674014388163,12460.12963825345,17285.292937999275,11272.790139456245
16,11663.042980437545,15551.433070987654,17872.099954611473,11196.49518041939
17,10706.303656840051,10929.770753789942,11588.048630174291,10732.701810434823
18,10887.97917290759,11116.645573484024,11472.312143813544,10722.286265885985
19,13559.77166519154,14768.928202954792,13420.462145402142,11487.51821305374
20,13752.719877110567,10605.142010371279,16863.327441675745,10922.832553785403
21,10721.598209536129,11306.23453987382,10896.258636869099,10741.427081177379
22,10774.769606141068,10508.096779343681,11144.288349900145,10559.551584853849
23,10752.49943627451,10813.147099673202,11436.917245143428,10611.289897762346
24,11764.658759872005,15876.045985498366,20273.334347993827,11150.242992238562
25,11022.288304852033,11684.727755991285,10775.083393246186,10794.62094101761
26,10923.746481027596,11218.70191210512,11657.241610611838,10930.465649736747
27,11072.199765568264,13176.730300925927,20715.12054012346,11112.499389524328
28,10783.752303581156,11121.151023170842,15381.37187931191,11035.633571055738
29,11356.879378290669,12665.548596586783,10949.639714506173,11030.589574028685
30,10824.048931100218,11141.322436456065,15324.025918323348,11169.393053513071
31,11303.385661991648,14059.16832266703,13100.617748388708,12655.612400599128
32,11056.632223243463,11526.797353848948,10719.615996051198,10717.540177696079
33,11156.296604597857,11624.88437749637,11842.795622163218,10716.616607094227
34,10680.583879584241,10892.572414896515,11138.166686637618,10583.331519153959
35,11183.694469408134,12276.567713553013,10802.332096496006,10926.30545501997
36,11027.894899010531,11776.625325095316,10926.793734681372,10888.73505004085
37,11020.311002859477,12692.238851329885,11598.831857525418,11419.648637549928
38,11021.453837032499,13079.84347040668,14027.920254743101,10702.368278072803
39,17517.364633828067,26789.30545388526,25645.960721337146,12965.123334354575
40,11214.067287354757,14476.08852986565,16364.764837849492,10909.675171114743
41,10890.823635280502,10556.075984817538,11607.96751554557,10586.787804330066
42,13016.507512481845,14263.192580791576,15517.071799087691,15743.9747159813
43,12567.75074766249,21400.59765352669,26225.47357037491,11399.001470247822
44,23540.3298583878,38004.30678649237,23638.706529933734,11873.647279411765
45,11719.505700798838,37987.12276915396,16523.704234862926,10929.074186637617
46,13583.350240559186,19926.35203646968,14297.114148397784,12127.819448302469
47,10570.753304398148,10669.34089097676,10687.035039488017,10514.705983682825
48,11022.190871573166,10785.630101443356,10975.641159676834,10600.072869576072
49,10863.773461896333,11095.89087100581,11781.136082970224,10850.955080678104
50,11386.080309209332,11447.97725921387,11812.26823642883,11545.598594317356
51,10672.854487903958,10787.990499160313,10795.153601352578,10592.313980006355
52,10827.203939270152,16082.028377587147,11952.619466684822,10597.532722290305
53,11161.187464143064,19420.022055873276,10791.247623002904,10738.377833946079
54,10676.012324686819,10761.301001157408,11235.73471337146,10574.113767020697
55,11136.139489606028,10541.202531545025,10679.29723322894,11071.590492011619
56,10751.74036605846,10858.51835807008,11355.32806633533,10574.49241353486
57,15486.431633759985,21295.78934980937,21400.513597721496,11998.460393745461
